id,name,region_id,federal_district_id
481,Красный Сулин,33,8
482,Красный Холм,83,6
483,Кремёнки,26,6
484,Кропоткин,24,8
485,Крымск,24,8
486,Кстово,71,7
487,Кубинка,73,6
488,Кувандык,55,7
489,Кувшиново,83,6
490,Кудрово,19,2
491,Кудымкар,49,7
492,Кузнецк,59,7
493,Куйбышев,5,5
494,Кукмор,22,7
495,Кулебаки,71,7
496,Кумертау,86,7
497,Кунгур,49,7
498,Купино,5,5
499,Курган,4,1
500,Курганинск,24,8
501,Курильск,76,4
502,Курлово,46,6
503,Куровское,73,6
504,Курск,54,6
505,Куртамыш,4,1
506,Курчалой,39,3
507,Курчатов,54,6
508,Куса,53,1
509,Кушва,29,1
510,Кызыл,36,5
511,Кыштым,53,1
512,Кяхта,68,5
513,Лабинск,24,8
514,Лабытнанги,82,1
515,Лагань,56,8
516,Ладушкин,14,2
517,Лаишево,22,7
518,Лакинск,46,6
519,Лангепас,61,1
520,Лахденпохья,80,2
521,Лебедянь,85,6
522,Лениногорск,22,7
523,Ленинск,50,8
524,Ленинск-Кузнецкий,12,5
525,Ленск,21,4
526,Лермонтов,72,3
527,Лесной,29,1
528,Лесозаводск,70,4
529,Лесосибирск,20,5
530,Ливны,18,6
531,Ликино-Дулёво,73,6
532,Липецк,85,6
533,Липки,40,6
534,Лиски,65,6
535,Лихославль,83,6
536,Лобня,73,6
537,Лодейное Поле,19,2
538,Лосино-Петровский,73,6
539,Луга,19,2
540,Луза,41,7
541,Лукоянов,71,7
542,Луховицы,73,6
543,Лысково,71,7
544,Лысьва,49,7
545,Лыткарино,73,6
546,Льгов,54,6
547,Любань,19,2
548,Люберцы,73,6
549,Любим,60,6
550,Людиново,26,6
551,Лянтор,61,1
552,Магадан,32,4
553,Магас,52,3
554,Магнитогорск,53,1
555,Майкоп,7,8
556,Майский,38,3
557,Макаров,76,4
558,Макарьев,27,6
559,Макушино,4,1
560,Малая Вишера,77,2
561,Малгобек,52,3
562,Малмыж,41,7
563,Малоархангельск,18,6
564,Малоярославец,26,6
565,Мамадыш,22,7
566,Мамоново,14,2
567,Мантурово,27,6
568,Мариинск,12,5
569,Мариинский Посад,43,7
570,Маркс,17,7
571,Махачкала,51,3
572,Мглин,84,6
573,Мегион,61,1
574,Медвежьегорск,80,2
575,Медногорск,55,7
576,Медынь,26,6
577,Межгорье,86,7
578,Междуреченск,12,5
579,Мезень,25,2
580,Меленки,46,6
581,Мелеуз,86,7
582,Менделеевск,22,7
583,Мензелинск,22,7
584,Мещовск,26,6
585,Миасс,53,1
586,Микунь,37,2
587,Миллерово,33,8
588,Минеральные Воды,72,3
589,Минусинск,20,5
590,Миньяр,53,1
591,Мирный,21,4
592,Мирный,25,2
593,Михайлов,74,6
594,Михайловка,50,8
595,Михайловск,29,1
596,Михайловск,72,3
597,Мичуринск,3,6
598,Могоча,1,5
599,Можайск,73,6
600,Можга,81,7
601,Моздок,2,3
602,Мончегорск,10,2
603,Морозовск,33,8
604,Моршанск,3,6
605,Мосальск,26,6
606,Москва,45,6
607,Муравленко,82,1
608,Мураши,41,7
609,Мурино,19,2
610,Мурманск,10,2
611,Муром,46,6
612,Мценск,18,6
613,Мыски,12,5
614,Мытищи,73,6
615,Мышкин,60,6
616,Набережные Челны,22,7
617,Навашино,71,7
618,Наволоки,42,6
619,Надым,82,1
620,Назарово,20,5
621,Назрань,52,3
622,Называевск,47,5
623,Нальчик,38,3
624,Нариманов,13,8
625,Наро-Фоминск,73,6
626,Нарткала,38,3
627,Нарьян-Мар,23,2
628,Находка,70,4
629,Невель,79,2
630,Невельск,76,4
631,Невинномысск,72,3
632,Невьянск,29,1
633,Нелидово,83,6
634,Неман,14,2
635,Нерехта,27,6
636,Нерчинск,1,5
637,Нерюнгри,21,4
638,Нестеров,14,2
639,Нефтегорск,78,7
640,Нефтекамск,86,7
641,Нефтекумск,72,3
642,Нефтеюганск,61,1
643,Нея,27,6
644,Нижневартовск,61,1
645,Нижнекамск,22,7
646,Нижнеудинск,75,5
647,Нижние Серги,29,1
648,Нижний Ломов,59,7
649,Нижний Новгород,71,7
650,Нижний Тагил,29,1
651,Нижняя Салда,29,1
652,Нижняя Тура,29,1
653,Николаевск,50,8
654,Николаевск-на-Амуре,15,4
655,Никольск,31,2
656,Никольск,59,7
657,Никольское,19,2
658,Новая Ладога,19,2
659,Новая Ляля,29,1
660,Новоалександровск,72,3
661,Новоалтайск,62,5
662,Новоаннинский,50,8
663,Нововоронеж,65,6
664,Новодвинск,25,2
665,Новозыбков,84,6
666,Новокубанск,24,8
667,Новокузнецк,12,5
668,Новокуйбышевск,78,7
669,Новомичуринск,74,6
670,Новомосковск,40,6
671,Новопавловск,72,3
672,Новоржев,79,2
673,Новороссийск,24,8
674,Новосибирск,5,5
675,Новосиль,18,6
676,Новосокольники,79,2
677,Новотроицк,55,7
678,Новоузенск,17,7
679,Новоульяновск,57,7
680,Новоуральск,29,1
681,Новохопёрск,65,6
682,Новочебоксарск,43,7
683,Новочеркасск,33,8
684,Новошахтинск,33,8
685,Новый Оскол,35,6
686,Новый Уренгой,82,1
687,Ногинск,73,6
688,Нолинск,41,7
689,Норильск,20,5
690,Ноябрьск,82,1
691,Нурлат,22,7
692,Нытва,49,7
693,Нюрба,21,4
694,Нягань,61,1
695,Нязепетровск,53,1
696,Няндома,25,2
697,Облучье,34,4
698,Обнинск,26,6
699,Обоянь,54,6
700,Обь,5,5
701,Одинцово,73,6
702,Озёрск,14,2
703,Озёрск,53,1
704,Озёры,73,6
705,Октябрьск,78,7
706,Октябрьский,86,7
707,Окуловка,77,2
708,Олёкминск,21,4
709,Оленегорск,10,2
710,Олонец,80,2
711,Омск,47,5
712,Омутнинск,41,7
713,Онега,25,2
714,Опочка,79,2
715,Орёл,18,6
716,Оренбург,55,7
717,Орехово-Зуево,73,6
718,Орлов,41,7
719,Орск,55,7
720,Оса,49,7
721,Осинники,12,5
722,Осташков,83,6
723,Остров,79,2
724,Островной,10,2
725,Острогожск,65,6
726,Отрадное,19,2
727,Отрадный,78,7
728,Оха,76,4
729,Оханск,49,7
730,Очёр,49,7
731,Павлово,71,7
732,Павловск,65,6
733,Павловский Посад,73,6
734,Палласовка,50,8
735,Партизанск,70,4
736,Певек,48,4
737,Пенза,59,7
738,Первомайск,71,7
739,Первоуральск,29,1
740,Перевоз,71,7
741,Пересвет,73,6
